ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
P7,2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-12-12,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-12-12,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-01-30,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-01-30,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-02-15,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-02-15,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-03-13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-03-13,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-04-10,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-04-10,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-04-10,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-05-08,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-05-08,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-06-12,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-06-12,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-07-10,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-07-10,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-07-10,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-08-07,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-08-07,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-09-11,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-09-11,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-10-09,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-10-09,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-10-09,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-11-13,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-11-13,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-12-11,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2018-12-11,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-01-08,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-01-08,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2019-01-08,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-02-12,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-02-12,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2019-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-03-12,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-03-12,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-04-09,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-04-09,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2019-04-09,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-05-07,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-05-07,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-06-11,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-06-11,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-07-09,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-07-09,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2019-07-09,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-08-13,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-08-13,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2019-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-09-10,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-09-10,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2019-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-10-08,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2019-10-08,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
